id,comment
__import__.customer_1005,"Aller sonner à la porte, le véto est toujours présente."
__import__.customer_1055,cabinet toujours ouvert.
__import__.customer_1160,"Déposer médocs et nourriture devant le garage.
si frigo, aller le donner au véto (monter dans le cabinet."
__import__.customer_1192,"Si absent, déposer dans salle d'attente, toujours ouverte."
__import__.customer_13,"En cas d'absence: déposer colis dans garage. Si garage
fermé déposer devant la porte d'entrée sur le balcon."
__import__.customer_1565,"Si absent, déposer la commande y compris les frigos dans la
salle d'attente. Glisser NE sous la porte du cabinet.
Après la livraison: NE PAS REFERMER LA PORTE A CLE SINON LES
CLIENTS NE SAVENT PLUS ENTRER POUR LES CONSULTATIONS."
__import__.customer_1613,"!!! Nouvelle rue ds GPS !!!
Pharmacie en face du Dr WERA"
__import__.customer_1805,Déposer colis dans salle d'attente.
__import__.customer_1821,C'est une pharmacie donc toujours ouverte.
__import__.customer_1833,"Sonner au cabinet via parlophone pour demander l'ouverture
de la porte. Si personne: déposer colis dans le van"
__import__.customer_19,"Déposer tout dans salle d'attente. Si salle d'attente fermée
aller sonner au privé. Si personne: mettre tout sous la
boîte méttalique à gauche de la maison. Mettre galçon si
colis frigo! 0477/362 508"
__import__.customer_1946,
__import__.customer_2060,C'est une Pharmacie: toujours ouverte en journée.
__import__.customer_214,"En cas d'absence: descendre dans la cour et ouvrir la
barrière. Déposer tout dans le 1er garage sur la droite."
__import__.customer_2434,"Clé armoire dispo. Passer par la porte brune côté gauche du
cabinet. Utiliser la clef pour déposer la commande dans
l'armoire située au fond du couloir."
__import__.customer_2480,"Porte du cabinet toujours ouverte, y déposer les colis.
Si porte fermée: passer par l'arrière. Code barrière: 1512 +
(pousser sur le bouton avec le dessin d'une clé). Tout
déposer dans le garage du fond (frigos aussi)"
__import__.customer_2563,"Clé porte entrée dispo. Déposer tous les colis dans le hall
d'entrée du cabinet."
__import__.customer_2926,"Si absent: déposer tout dans la salle d'attente sur les
chaises, y compris les produits froids"
__import__.customer_328,Tout déposer dans l'entrée côté droit.
__import__.customer_3570,"En cas d'absence: déspoer dans la salle d'attente.
un petit sac vert ""Merial"" à disposition pour les produits
frigos."
__import__.customer_3727,"Via la T70
Salle d'attente toujours ouverte: y déposer colis. Si frigo
prévenir au parlophone."
__import__.customer_3753,"Clé dispo --> Entrer par la porte n°1: désposer colis dans
couloir. Frigo dispo dans le 1er cabinet de consultation
pour les colis frigos."
__import__.customer_440,"déposer médocs et nourriture dans l'entrée. Déposer colis
frigo dans le frigo du cabinet."
__import__.customer_4408,"Via T70
Salle d'attente toujours ouverte: y déposer les colis. Si
frigos, prévenir véto via parlophone"
__import__.customer_4478,Toujours là. Si barrière fermée: sonner au véto.
__import__.customer_4622,"NE PAS LIVRER DU 03/09 AU 12/09/2018 INCLUS!!
Pour la livraison des frigos, une glacière est mise à
disposition à l'endroit habituel de livraison."
__import__.customer_4672,"Sonner au cabinet. Si personne allez chez le voisin d'en
face."
__import__.customer_484,"Déposer médocs et nourriture dans la salle d'attente. Si
colis frigos: aller les donner au véto."
__import__.customer_5000,"Déposer médocs et nourriture dans la salle d'attente. Si
colis frigos: aller les donner au véto."
__import__.customer_501,"En face du bâtiment sur la droite il y a la porte du cabinet
. Elle est toujours ouverte pour y déspoer les colis."
__import__.customer_5012,"Si absente : déposer la marchandise, y compris les frigos,
derrière la porte qui se trouve à gauche de la porte de la
salle d'attente. si porte fermée: déposer dans la buanderie."
__import__.customer_5026,"cabinet toujours ouvert. Donner médocs et frigos au comptoir
et déposer la nourriture dans le fond."
__import__.customer_5114,"Clé porte d'entrée dispo. Déposer colis dans l'entrée.
Bien refermer la porte en partant."
__import__.customer_5135,"cabinet toujours ouvert. Donner médocs et frigos au comptoir
et déposer la nourriture dans le fond."
__import__.customer_528,"ALARME! le boitier est en haut des escaliers. ATTENTION:
délai TRES COURT pour désactiver l'alarme! Sélectionner
l'utilisateur ""livraison"" CODE: 174530 puis désactiver.
Remettre alarme et REFERMER A CLE EN PARTANT!"
__import__.customer_5371,Si absente: voir avec le voisin d'en face
__import__.customer_561,"Sonner au cabinet: si personne: sonner au n° 88 de la même
rue (rue Edmond de Selys Longchamps). Si personne: aller
chez le voisin de droite.
GSM véto: 0475/743660"
__import__.customer_5737,"Clé dispo. Mettre clé dans le boitier et tourner vers la
gauche pour ouvrir la porte. Déposer tous les colis dans la
salle d'attente. Frigobox à disposition..
(0477/041199)"
__import__.customer_590,"Déposer médocs et nourriture dans la salle d'attente. Si
colis frigos: aller les donner au véto."
__import__.customer_5908,"Livrer dans la cour à l'arrière du Cabinet
""Chemin du Tilleul"". Si d'absente, un bac en plastique est à
disposition. 0473/357076"
__import__.customer_5930,"Déposer colis devant baie vitrée si petite carrière est
ouverte. Si barrière fermée: mettre dans boite aux lettres
si possible. Si pas possible: sonner au véto: 0475/714294"
__import__.customer_5955,"Aller à l'arrière du bâtiment. Salle d'attente est toujours
ouverte."
__import__.customer_5971,"clé dispo, elle ouvre la porte à l'arrière. Déposer colis
frigo dans le frigo."
__import__.customer_6246,clé dispo. Tout déposer dans salle d'attente.
__import__.customer_6424,"Si absent: sonner au parlophone et attendre que la barrière
s'ouvre (automatique)"
__import__.customer_6472,"tel fixe: 016/816804
Cabinet toujours ouvert."
__import__.customer_648,"Déposer marchandise dans la salle d'attente qui est tjs
ouverte. Glisser les NE sous la porte du cabinet.(1er porte
à gauche en entrant = cabinet)"
__import__.customer_6593,"Toujours ouvert pour livrer. Déspoer médocs et frigos sur le
comptoir. Trier les sacs par sorte/marque.
Si problème:  0473/472 515"
__import__.customer_6817,"Entrer par petit portail: sur le boitier taper le code 1490
+bouton noir= petite porte s'abaisse. récupérer la clé du
portail et déposer colis dans coffre rouge et noir.
Remettre la clé après. Si frigo prévoir boite frigo+glaçons"
__import__.customer_6888,"Sonner au cabinet. Si personne déposer colis devant la porte
d'entrée du privé."
__import__.customer_6975,Cabinet toujours ouvert
__import__.customer_705,"C'est une ferme. Le chien est très gentil. Tout déposer dans
le garage de gauche."
__import__.customer_709,"clé dispo, elle ouvre la porte à l'arrière. Déposer colis
frigo dans le frigo."
__import__.customer_7212,"clé du cabinet dispo. Déposer colis dans la salle d'attente
et les frigos dans le frigo."
__import__.customer_7214,"Toujours présent. Si exceptionnellement absent: téléphoner
au véto."
__import__.customer_7296,"cabinet toujours ouvert. Donner médocs et frigos au comptoir
et déposer la nourriture dans le fond."
__import__.customer_7297,"cabinet toujours ouvert. Donner médocs et frigos au comptoir
et déposer la nourriture dans le fond."
__import__.customer_7302,"Utiliser clé client 3753 (CRAHAY)
Entrer par la porte n°1: désposer colis dans
couloir. Frigo dispo dans le 1er cabinet de consultation
pour les colis frigos."
__import__.customer_7418,"En cas d'absence, déposer les colis à droite sous le porche.
GSM véto: 0478/904811"
__import__.customer_7521,"La maison fait le coin. Suivre la route et entrer dans le
parking. Déposer colis à l'arrière sous le porche."
__import__.customer_754,"Véto toujours présent. Si absent: lui téléphoner au :
0475/587 894"
__import__.customer_7622,Aller chercher les clés juste à côté chez le coiffeur.
__import__.customer_774,"Clef pour la porte de gauche. Tout déposer, y compris les
produits frigos car frigo à disposition."
__import__.customer_7847,"Déposer marchandise dans le bac en plastique noir situé en
face du cabinet dans la cour."
__import__.customer_786,"Déposer médocs et nourriture en bas dans salle d'attente.
Pour les produits frigo: aller sonner au privé."
__import__.customer_7922,"Si produits frigo: sonner au véto. Pour les médocs et la
nourriture: si personne: déposer dans la male rouge à gauche
de la ferme."
__import__.customer_7948,"Cabinet toujours ouvert. ATTENTION au radar devant le
collège!"
__import__.customer_7977,"Véto toujours présent. Si exceptionnellement absent:
déposer marchandise devant la porte d'entrée.
!!!! NE PLUS LIVRER A LA CLINIQUE CRAHAY!!!"
__import__.customer_8089,"Deposer colis dans salle d'attente;NE JAMAIS déposer dans
couloir!! TOUJOURS REFERMER LA PORTE DE LA SALLE D'ATTENTE A
CLE (même si la porte était ouverte à votre arrivée).
GLISSER NE SOUS PORTE CABINET!"
__import__.customer_8098,"En cas d'absence: si barrière ouverte, entrer dans la
propriété et mettre dans le garage. Si barrière fermée:
ouvrir le portail et déposer dans boite aux lettres.
Frigobox a disposition pour les produits frigos."
__import__.customer_8238,"Passer le portail et déposer colis sur la niche du chien.
Si portail fermé: déposer dans le coffre en bois à gauche du
portail."
__import__.customer_8241,"2 clés dispo. 1 clé pour entrer dans la salle d'attente et
ensuite 2ème clé pour entrer dans la salle de consultation.
Frigo à dispo pour colis frigos. Déposer autres colis sur
la table."
__import__.customer_8495,"Si absente: 2 clés dispo: 1 petite clé pour la porte
d'entrée du cabinet + 1 clé grande pour local WC (sur
la droite). Il faut déposer tout dans les WC et refermer
la porte."
__import__.customer_8519,"cabinet toujours ouvert. Donner médocs et frigos au comptoir
et déposer la nourriture dans le fond."
__import__.customer_8656,
__import__.customer_8927,Travaille au Mont-Falise
__import__.customer_893,Sonner à la porte si personne: mettre tout sous l'escalier.
__import__.customer_8952,"SOnner à la porte. Si absent: déposer colis devant la porte.
Si produits frido: téléphoner au véto pour prévenir."
__import__.customer_9043,Toujours là. Frapper à la porte du cabinet.
__import__.customer_9056,"Déposer médocs et nourriture dans la salle d'attente. Si
colis frigos: aller les donner au véto."
